"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\BLL.csproj.nuget.dgspec.json", "JSON", 0, 0, 379, 0, 0, 0, 379
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\BLL.csproj.nuget.g.props", "XML", 19, 0, 0, 0, 0, 0, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\BLL.csproj.nuget.g.targets", "XML", 8, 0, 0, 0, 0, 0, 8
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\Debug\net8.0\BLL.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\Debug\net8.0\BLL.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 15, 0, 1, 16
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\Debug\net8.0\BLL.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\Debug\net8.0\BLL.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\project.assets.json", "JSON", 0, 0, 3014, 0, 0, 0, 3014
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DAL\DAL.csproj", "XML", 10, 0, 0, 0, 0, 4, 14
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DAL\DBContext\UtradedbContext.cs", "C#", 0, 534, 0, 0, 0, 111, 645
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DAL\Repositorios\Contrato\IRepositorioGenerico.cs", "C#", 0, 17, 0, 0, 0, 3, 20
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DAL\Repositorios\RepositorioGenerico.cs", "C#", 0, 84, 0, 0, 0, 9, 93
