"filename", "language", "C#", "XML", "JSON", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\MSTest.TestFramework.Extensions.xml", "XML", 0, 203, 0, 0, 0, 0, 1, 204
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\Model.deps.json", "JSON", 0, 0, 1602, 0, 0, 0, 0, 1602
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\MvcTestingAppManifest.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\Utility.deps.json", "JSON", 0, 0, 1087, 0, 0, 0, 0, 1087
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\appsettings.json", "JSON", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\obj\AuthTest.csproj.nuget.dgspec.json", "JSON", 0, 0, 636, 0, 0, 0, 0, 636
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\obj\AuthTest.csproj.nuget.g.props", "XML", 0, 34, 0, 0, 0, 0, 0, 34
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\obj\AuthTest.csproj.nuget.g.targets", "XML", 0, 20, 0, 0, 0, 0, 0, 20
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 1, 1, 5
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\obj\Debug\net8.0\AuthTest.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 10, 5, 24
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\obj\Debug\net8.0\AuthTest.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\obj\Debug\net8.0\AuthTest.GlobalUsings.g.cs", "C#", 8, 0, 0, 0, 0, 1, 1, 10
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\obj\Debug\net8.0\AuthTest.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\obj\Debug\net8.0\MvcTestingAppManifest.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
