"filename", "language", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "PostCSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\login\components\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 83, 0, 0, 9, 92
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\login\components\login\login.component.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 7, 61
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mapa\mapa.component.css", "PostCSS", 0, 0, 0, 0, 73, 0, 0, 0, 16, 89
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mapa\mapa.component.html", "HTML", 0, 0, 0, 0, 0, 70, 0, 0, 4, 74
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mapa\mapa.component.ts", "TypeScript", 0, 0, 0, 130, 0, 0, 0, 0, 17, 147
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mensajes\chat\chat.component.css", "PostCSS", 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mensajes\chat\chat.component.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mensajes\chat\chat.component.ts", "TypeScript", 0, 0, 0, 332, 0, 0, 0, 0, 41, 373
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mensajes\conversation-list\conversation-list.component.css", "PostCSS", 0, 0, 0, 0, 35, 0, 0, 0, 8, 43
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mensajes\conversation-list\conversation-list.component.html", "HTML", 0, 0, 0, 0, 0, 42, 0, 0, 1, 43
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mensajes\conversation-list\conversation-list.component.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mensajes\message-area\message-area.component.css", "PostCSS", 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mensajes\message-area\message-area.component.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 1, 3, 41
